Gene	Pvals
TTTY15	0.0
KDM5D	0.0
EIF1AY	0.0
BCORP1	0.0
TTTY14	0.0
TMSB4Y	0.0
UTY	0.0
DDX3Y	0.0
USP9Y	0.0
TXLNGY	0.0
PRKY	0.0
ZFY	0.0
RP11-424G14.1	0.0
XIST	0.0
RPS4Y1	0.0
TSIX	9.11033225990468e-249
LINC00278	3.376667865608625e-244
ANOS2P	7.034799405730594e-232
TTTY10	2.559580099952215e-164
AC010086.1	1.5221916742137836e-110
MAP7D2	1.2985463442994788e-95
HEPH	9.720950555312395e-90
RPS4Y2	4.856896455700743e-71
ZFY-AS1	6.767690516065676e-69
RP11-414C23.1	3.2443889409549857e-64
NLGN4Y	4.0351063332966705e-63
KDM6A	3.991243944026897e-62
EIF1AX	9.361836357981931e-46
EIF2S3	2.4706900488509616e-42
ZFX	1.1263357760475579e-41
RP11-65G9.1	2.0092528742133838e-35
SMC1A	8.817885510623276e-34
LINC01597	6.359167370530812e-25
ERCC6L	1.0044287009856337e-19
FRG1BP	1.042226728262542e-19
JPX	1.4776455468490647e-19
PNPLA4	1.6623710734481587e-19
KDM5C	1.2253630226545468e-17
ARSD	1.9407376767853439e-16
CXorf38	1.1395815781921141e-14
RP11-706O15.1	6.654001197545528e-14
TXLNG	1.3425469498149986e-13
PUDP	1.4282083720594256e-13
ZRSR2	3.1488059895569544e-13
MMEL1	3.5027296565265237e-13
FAM213B	3.646243685940791e-12
PRSS33	1.7017058230460762e-11
MXD4	2.332112916355807e-11
FRG1CP	2.3980385352033377e-11
CD99	5.7503059711764305e-11
DDX3X	6.997343931395044e-11
DACT1	7.732115674206364e-11
FBXW4	1.439755878016531e-10
FIGN	1.439755878016531e-10
CXorf36	2.755010327748697e-10
LCNL1	2.792643036087823e-10
ZNF254	5.939911581823716e-10
ESPN	6.685652795832989e-10
DGKK	5.415896941052183e-09
FUNDC1	1.037837176515055e-08
MIR9-3HG	1.1299518464444697e-08
RGS11	1.2896498019126297e-08
LINC01686	2.369338649676313e-08
ADAMTS7P1	3.177833620706199e-08
ZNF90	3.234825946355247e-08
ZNF428	3.613612999094351e-08
ANKRD28	5.649522855973847e-08
COX6B2	6.32681545949803e-08
PRR34-AS1	6.32681545949803e-08
CRLF2	6.32681545949803e-08
LPXN	9.86331758124484e-08
SLC25A6	1.044609247665475e-07
EFHC2	1.9208042944331571e-07
RP5-1198O20.4	2.120617948374775e-07
PLCH1	2.3604359864473362e-07
GPS2	2.396542707312371e-07
GCAT	2.902436575660317e-07
UBA52	3.801027773434399e-07
HES4	4.005793422949409e-07
ZNF93	4.1199279022344394e-07
SHARPIN	4.1199279022344394e-07
BMS1P10	4.1199279022344394e-07
GTPBP6	5.457938438819856e-07
DDX43	5.644625744010939e-07
LINC01305	8.146937578786133e-07
PACSIN1	8.534874120083988e-07
B4GALT7	8.756933444953318e-07
CFAP58	8.955293594185694e-07
KRT8P49	1.0259331282833807e-06
LA16c-OS12.2	1.0259331282833807e-06
CACNG8	1.0335270403371873e-06
PTGDS	1.066148182160047e-06
CTDNEP1	1.066148182160047e-06
TMEM45A	1.1800473828508989e-06
YBX1	1.2119922547112149e-06
AKAP12	1.5610920028770983e-06
DEFA1	1.6027147329917197e-06
IL3RA	1.74255634600749e-06
NLRP2	1.7816352234839014e-06
DSEL	2.2433258225490633e-06
SNX15	2.2485351850095793e-06
EEF2	2.7199795346734427e-06
EMC10	2.9552952394367235e-06
STUB1	3.1513884351244237e-06
TRBV24-1	3.307747484373779e-06
ANO7L1	3.4808717605224246e-06
GPS1	4.317682750195474e-06
DACT3	4.317682750195474e-06
EIF1	4.357758271167603e-06
SERF2	4.703453060200663e-06
ALKBH5	5.278714908277033e-06
ST7L	5.719719113402813e-06
ZNF511	5.9406968575151e-06
CPSF4	6.361857038509386e-06
DUS1L	6.514779362345498e-06
ZNF486	6.671783692662064e-06
CACNG6	7.233660626694036e-06
HBA1	7.233660626694036e-06
GALNT3	7.331216447105171e-06
TDRD12	7.331216447105171e-06
MYO1G	7.776733112616025e-06
EFNA1	1.0588762999088396e-05
SPNS3	1.0685469376259203e-05
NPRL3	1.0693377111732831e-05
OR51G2	1.0741097308170952e-05
KRT86	1.1025969951374698e-05
STS	1.2813782781822418e-05
RP11-490G8.1	1.2813782781822418e-05
CTD-2017D11.2	1.3658958364442972e-05
RPL29P11	1.3893404079551844e-05
C12orf10	1.4272543028349163e-05
SRBD1	1.4272543028349163e-05
EVC2	1.4272543028349163e-05
RPS4X	1.4272543028349163e-05
BEND7	1.4380946553406417e-05
CTD-3074O7.5	1.4691540825068866e-05
TICAM1	1.5425664201392826e-05
CCL2	1.607267432907842e-05
BATF3	1.6129005619940756e-05
PTGDR2	1.6129005619940756e-05
TRBV14	1.6209481132268033e-05
PLD4	1.6209481132268033e-05
RPS6KB2	1.6326614640112382e-05
ERGIC3	1.669711427479303e-05
IDH3B	1.8427988588169048e-05
CCDC124	1.8619474430461425e-05
INO80B	1.872561078175383e-05
RIBC1	1.9078980037129445e-05
OSBPL1A	2.065076942258958e-05
ECSIT	2.1066536266710564e-05
PITPNM1	2.1663408694528438e-05
PDE6G	2.2034038628650828e-05
BACE2	2.2292087105163078e-05
NXPH4	2.2839358947692397e-05
CSNK2A2	2.3700679699731025e-05
EIF3F	2.3945392787205473e-05
RING1	2.3945392787205473e-05
AMPD2	2.3991750875947118e-05
SIGLEC8	2.535441310086025e-05
EIF4A1	2.5754137285116212e-05
CNTNAP3	2.7108297982924287e-05
MYLK3	2.7108297982924287e-05
BABAM1	2.796641618678272e-05
PMEPA1	2.8374502239820377e-05
WFDC2	2.9713236553383952e-05
THRSP	3.2090697823631554e-05
TMUB1	3.346017087217621e-05
AC113189.5	3.416864379396727e-05
EIF3G	3.416864379396727e-05
TMEM104	3.416864379396727e-05
IDH3G	3.4511953298014186e-05
GATA2	3.4511953298014186e-05
CA5B	3.4543398484404956e-05
DCXR	3.4734254104078934e-05
PIGT	3.51280459226672e-05
NDUFAF3	3.51280459226672e-05
EIF3K	3.629696011409735e-05
SLC7A11	3.6657794872000534e-05
CBARP	3.692826303771834e-05
MAP3K20	3.7910294467682966e-05
RPLP1	3.830277441795874e-05
RNF187	4.1520470457855475e-05
DHRS2	4.306937719885094e-05
IL9R	4.451249954913692e-05
FAM110A	4.536697949795822e-05
C15orf48	4.551975789280317e-05
PPDPF	4.5901847246607215e-05
HSF1	4.5901847246607215e-05
TMEM119	4.7551298010452096e-05
RP11-823P9.3	4.908077757200554e-05
NLRP7	4.922255717133045e-05
GRIK4	5.058334710261683e-05
TSPEAR	5.058334710261683e-05
PTMS	5.298697949819226e-05
RHOXF1P1	5.362253964729353e-05
ALPK3	5.4195995991374836e-05
DDX49	5.513958656745276e-05
LHPP	5.647642651748974e-05
PIK3R6	5.662249668399562e-05
SIRT2	5.6878290130424364e-05
RP11-211G3.2	5.8597374951528655e-05
AMFR	5.953751558309404e-05
TTC9B	6.0391541215639055e-05
AAMP	6.0772855506799876e-05
COQ7	6.314314549587704e-05
ZNF429	6.330258537044345e-05
TSSC4	6.330258537044345e-05
UBXN1	6.432344305399884e-05
TNFSF12	6.43852803295576e-05
RPS15	6.680483430578055e-05
ATP5G2	6.680483430578055e-05
PRKX	6.680483430578055e-05
PER3	6.680483430578055e-05
TMEM39B	6.833866769166129e-05
ACCS	6.864906114051656e-05
PQBP1	6.864906114051656e-05
TTC26	6.900685882663467e-05
FOSB	7.024722777699584e-05
MT-CO1	7.048545476047678e-05
NT5DC4	7.185028905633312e-05
LGALSL	7.347803393839512e-05
LRRC6	7.36719243141048e-05
DPP9	7.379208896988699e-05
C2CD2L	7.54962796373242e-05
RPLP2	7.641147315721279e-05
TAF6	8.03740884738805e-05
CD74	8.451762717071848e-05
EIF3L	8.453137079517307e-05
LMF2	8.638105937057452e-05
CEP104	8.638105937057452e-05
SERPINE1	8.671781213811319e-05
ZNF335	9.04644366058222e-05
MAN2C1	9.084060809504971e-05
RHOF	9.420769052942849e-05
SENP3	9.466902628724011e-05
SGSM2	9.608191832175863e-05
HDC	9.608191832175863e-05
INSC	0.00010174193379250953
CLCN7	0.00010668931455340623
NMRAL1	0.00010748169258149379
RNF5	0.0001080059164600727
TRAPPC2	0.00010801149712738508
COMT	0.00011123069157333867
TMPRSS9	0.00011123069157333867
PDK2	0.00011493665055769331
CAPNS1	0.00011575894201638547
NDUFS7	0.00011575894201638547
ZBTB17	0.00011803499226132282
FBXO32	0.00012552333539183293
IL34	0.00013191310310519785
PSMC4	0.00013207733704506157
DPP3	0.00013240774331003537
LGALS3	0.00013628989856021785
MSLN	0.00013911659154006872
RP3-395M20.12	0.00013911659154006872
ADCY10P1	0.00013911659154006872
HBM	0.00014189268055611742
TMEM259	0.00014624210270948484
NDUFB11	0.00014640313335812432
ATG101	0.00014761587011473225
TTYH2	0.000148951312482305
IRAK1	0.00015008091044559646
CEBPB-AS1	0.0001519694127385457
ALOX15	0.0001535562413864242
RP5-1160K1.6	0.000156229055262858
IFI44L	0.0001584140454777034
BAG6	0.00015874556967968037
PSMC3	0.00015874556967968037
SLC4A2	0.00015890654257386637
HAGH	0.00015904053374105374
EVC	0.0001609730314660423
ABCC5	0.00016099525067948914
LRRN1	0.00016186356223677972
FUNDC2	0.0001630041848155387
PNMA5	0.0001630041848155387
DLG4	0.0001644950315393394
ARHGDIA	0.0001644950315393394
CRMP1	0.0001644950315393394
RP4-673D20.3	0.00016570415504627535
