Gene	FDR_Pvals
UTY	0.0
TTTY15	0.0
PRKY	0.0
TTTY14	0.0
BCORP1	0.0
DDX3Y	0.0
KDM5D	0.0
TXLNGY	0.0
EIF1AY	0.0
LINC00278	0.0
ZFY	0.0
RPS4Y1	0.0
USP9Y	0.0
RP11-424G14.1	5.631183333254689e-305
TMSB4Y	2.2116590405071273e-304
ANOS2P	7.149383506249984e-299
XIST	1.0623056819182058e-275
TTTY10	1.8611811159632427e-220
TSIX	1.486086359402412e-177
AC010086.1	1.6860773565915312e-114
MAP7D2	3.138152696240157e-88
NYX	4.437423145019948e-86
HEPH	1.6500140943794651e-81
RP11-414C23.1	1.2296677969437718e-74
ZFY-AS1	6.521084987793738e-73
RPS4Y2	6.151803362106514e-66
KDM6A	8.332109833828989e-52
NLGN4Y	9.904358963190781e-46
RP11-342D14.1	3.0749213606739105e-43
EIF2S3	1.1941266292322116e-38
EIF1AX	3.5090028174679023e-38
ZFX	2.8033150107056933e-37
NEFLP1	2.1014511716185735e-34
RP11-65G9.1	6.899477709753222e-34
SMC1A	4.89833562367348e-30
PPP1R2P9	5.9135388822809284e-30
RP11-576C2.1	1.1848306037358197e-28
EIF4BP9	1.3154341404595212e-28
GYG2P1	2.911987827419566e-25
FRG1BP	8.803969037297576e-24
LINC01597	6.21630170059187e-23
PNPLA4	4.290205041314628e-19
CXorf36	1.3024591159142e-18
RP11-30M20.1	6.890918156911361e-18
ARSD	2.4187721858318832e-17
KDM5C	4.302843360756441e-17
TBL1YP1	5.082597260214232e-17
ERCC6L	1.4226539854146374e-16
MAFIP	4.871363269492621e-16
RP11-706O15.1	7.66544670856007e-15
CXorf38	8.684803678148009e-15
PUDP	3.80704198954572e-14
JPX	1.1048695031472433e-12
FRG1CP	2.474394401970458e-12
MMEL1	7.964158702918838e-12
TXLNG	2.5039853196817104e-11
CD99	3.4277556027996427e-11
CDY4P	3.578221534381703e-11
DDX3X	9.229272201341894e-11
ZRSR2	8.340288560351767e-10
RP11-309M23.1	4.649454751345046e-09
TEX13C	5.3582505492795145e-09
RP11-333A23.4	5.403136184192363e-09
FUNDC1	1.2458579047796268e-08
FAM213B	1.5810787674346567e-08
TRPC5OS	1.6531153415244687e-08
BMS1P10	1.8634217147047093e-08
SHROOM2P1	2.0064797786599674e-08
ZNF254	2.1671464506167753e-08
DPPA2P1	3.016193261834385e-08
AC010084.1	5.480731939163407e-08
FBXW4	7.144257003110918e-08
ZNF90	9.256170926326722e-08
MIR9-3HG	9.598204843076187e-08
DDX43	1.805093219913793e-07
SRY	2.0277143811656387e-07
LINC01204	2.587556485941027e-07
LPXN	2.8111060558354e-07
MXD4	5.938510281242489e-07
STS	1.0038719145030046e-06
DGKK	1.4894451721881625e-06
ZNF93	2.6710195307999987e-06
ANKRD28	2.6710195307999987e-06
LINC01305	3.361465961900753e-06
NLRP2	4.169126173930603e-06
DACT1	4.190276401496419e-06
ASMT	4.190276401496419e-06
SUPT20HL2	6.871802200688449e-06
BEND7	7.618388104055824e-06
RPS4X	7.648931299814786e-06
ST7L	7.827122534705708e-06
HSFY3P	8.350775848544188e-06
EFHC2	1.098243804660373e-05
GALNT3	1.5283278224683173e-05
COX6B2	1.6080093151470192e-05
CPSF4	1.6080093151470192e-05
PTGDS	1.729440145053942e-05
GPS2	2.034735523830431e-05
RP13-33H18.1	2.034735523830431e-05
PRKX	2.4398854442112823e-05
GPAT2	2.504111627900298e-05
SLC25A6	2.5775167891675974e-05
OPLAH	3.0870050774315776e-05
TOMM22P1	3.164348345214155e-05
RFTN1P1	3.316005208402982e-05
ZNF839P1	3.357026479644797e-05
CTD-2353F22.2	3.357026479644797e-05
ALKBH5	4.213485213619048e-05
GPS1	4.215643963831865e-05
TAB3P1	4.3005962730755473e-05
LINC01686	4.718304534968367e-05
CFAP58	4.909583903945387e-05
LRRN1	5.3913953259644964e-05
MYO1G	6.493792350676026e-05
PRSS33	6.515464985093349e-05
EIF2S3L	6.66208210789484e-05
ZNF428	7.360874425463555e-05
CES4A	7.360874425463555e-05
HSF1	7.614489796282565e-05
TMEM45A	7.614489796282565e-05
ZNF511	7.614489796282565e-05
UBA1	7.614489796282565e-05
DUS1L	7.614489796282565e-05
CSNK2A2	7.674749947953659e-05
VCX	7.742616245828581e-05
MARC2	8.33297134801738e-05
RING1	0.00010096507019130095
CTDNEP1	0.00010314965698993763
RP11-706O15.3	0.00011171692889218564
FIGN	0.00011337897680283213
NLRP7	0.00011488082838025221
SRBD1	0.00012344393902401422
EMC10	0.0001374908395299364
PIGT	0.0001384269672376103
ERGIC3	0.00013937813942126864
RPS6KB2	0.00014104392781570115
GTPBP6	0.00016070201976759976
SNX15	0.00017123159085526124
ZNF608	0.00017123159085526124
IDH3B	0.00021716518048431923
EVC2	0.00023000703323552556
STUB1	0.00023000703323552556
DSEL	0.00023927064502030437
ESPN	0.00023927064502030437
CACNA1E	0.00024387765543909895
CTD-3012A18.1	0.00025740307986598857
CFAP58-AS1	0.000260682394197058
IDH3G	0.00026253919461461815
LCNL1	0.0002631496381762064
CA5B	0.00026903257462893796
EIF1AXP1	0.0002861628155111366
C12orf10	0.0002861628155111366
SENP3	0.0002861628155111366
STK32B	0.00028823533052762363
PRDM5	0.0002885518846141384
CAMTA1	0.0002899236029810401
PDE6G	0.0003006592025207801
RP11-196G18.3	0.00030230095566970063
INO80B	0.00031584321361746937
TMUB1	0.0003236396835725825
RIBC1	0.0003243796042137901
KDM5DP1	0.0003331568599434569
CEP104	0.0003365598874247873
EIF3G	0.00036856535368940416
DPP9	0.000381534368011527
EIF4A1	0.0003999349116961054
MAN2C1	0.00041033353586486125
DISC1	0.00043058505054742344
TRAPPC2	0.00043559681109553726
EIF3F	0.0004378483534861048
EIF1	0.0004425911313143727
PACSIN1	0.00044385275043960245
ZNF799	0.0004741447337009002
PITPNM1	0.0005066072859906063
TAF6	0.000515153354162878
ATP5G2	0.0005513496497973996
CNTNAP3B	0.0005541845017311981
EIF3K	0.0005628866067156371
ZNF486	0.0005628866067156371
NBN	0.0005673851158537351
TMEM260	0.0005673851158537351
ABCC5	0.0005699792782346971
UBXN1	0.0005855897408490113
NDUFA10	0.0005872070296000175
COQ7	0.0005872070296000175
SDHAF3	0.0005872070296000175
TMEM104	0.0005965355797203178
VDAC2	0.0005965355797203178
ZKSCAN7	0.0005965355797203178
CTD-3105H18.4	0.0005976458512251543
TTC26	0.0005984492940897681
EEF2	0.0006228232606238914
PTGER4P2-CDK2AP2P2	0.0006355229288874311
TMEM39B	0.0006511342510589364
C2CD2L	0.0006757043660037998
ALOX15	0.0006980742432845253
BAX	0.0007020685147843965
B4GALT7	0.0007119241801307211
STK25	0.0007679153652182526
ZNF253	0.0007753750525387039
SNAPC2	0.0007755967338182143
RP11-68I3.10	0.0007914374215583359
SDR42E1P5	0.0007966261106997498
GGA1	0.000821792909127135
ZNF335	0.000821792909127135
RP11-326C3.14	0.0008360907239142142
ALPK1	0.0008457438973411458
EPB41L5	0.0008484783598544862
TTC8	0.0008700487032709004
TNFSF12	0.0008703460810592486
ODF2L	0.0009020895833643349
ZNF140	0.0009020895833643349
MAP3K20	0.0009220842122635547
AAMP	0.0009220842122635547
PQBP1	0.0009248854372229764
CNTNAP3	0.0009412749506118088
NME3	0.0009479094221912167
ZNF502	0.0009673234892744412
CACNG8	0.0009809861300380234
DLG4	0.0009809861300380234
LMF2	0.0009809861300380234
NMRAL1	0.0009809861300380234
PSMA6P1	0.0009809861300380234
ARMC2	0.0009918949387433748
CD274	0.0010204073002450932
DDOST	0.0010204073002450932
NDUFS7	0.0010225137344432374
PER3	0.0010225137344432374
SIRT2	0.001042021912271565
RCE1	0.0010761770423614095
RGS17	0.0010761770423614095
CTD-2017D11.2	0.0010899027498572304
SGSM2	0.0011019111510766617
ZBTB17	0.0011019111510766617
THNSL1	0.0011019111510766617
TMEM259	0.0011019111510766617
RP11-144A16.8	0.0011019111510766617
ST8SIA4	0.001110068746708652
FASTK	0.0011225562215285067
KATNBL1	0.0011225562215285067
FCGR2B	0.0011350107207678914
FAM8A1	0.0011803325133409477
SPESP1	0.0011822639816785096
IL18R1	0.001213200870127167
AC009495.2	0.001213200870127167
MAP3K10	0.0012996398308783997
YBX1	0.0013075994290440518
AJAP1	0.0013340625419857007
HOXA9	0.0013340625419857007
CAPNS1	0.001388731063287361
SP100	0.001388731063287361
TMEM189	0.001388731063287361
SLCO4C1	0.001397204731478148
HIC1	0.0014057875342406822
EIF5A	0.0014057875342406822
SLC7A11	0.0014057875342406822
UBXN11	0.001408682747941336
PSMC4	0.001451723922186442
ABHD17A	0.0014708183782204314
NAT9	0.0014708183782204314
CTD-3074O7.5	0.001512490604443897
CCDC124	0.001512490604443897
IPO11	0.0015155945239468628
HERC4	0.0015279300000326868
RP1-228H13.2	0.001556500053136005
SLF1	0.0015598764766694296
ADCY10P1	0.0015792289884685375
HS2ST1	0.0016172568955567302
HM13	0.0016938869654193824
RABGGTA	0.001711461031823335
MYLK3	0.001711461031823335
ZNF595	0.001711461031823335
APH1A	0.001711461031823335
ZCCHC7	0.001711461031823335
RPS4XP1	0.0017154252290705622
LYRM4	0.0017154252290705622
NT5DC4	0.001747296121542096
C1orf174	0.0017506353083521966
AICDA	0.0017684483588244618
ALYREF	0.0017684483588244618
EDF1	0.0017723878909581073
ERGIC2	0.0018109435576194846
RNF5	0.0018202542341079497
ZNF585B	0.001835182432226305
BBIP1	0.001835182432226305
HS3ST3B1	0.001835182432226305
SLC4A2	0.0018566608625711924
CNGB1	0.0018646943170092085
IL18RAP	0.0018724026937715973
RP11-357P18.3	0.001922925059357431
FLT1P1	0.0019298397751261966
HDC	0.0019470915128278555
OSBPL1A	0.001967111203656597
SIGLEC8	0.0019945883474080622
TICAM1	0.0019945883474080622
BABAM1	0.0019973140859880258
ARHGDIA	0.0020566762249840634
HNRNPL	0.002093704552724704
SESN1	0.002093704552724704
LPIN2	0.002093704552724704
DRG2	0.002093704552724704
DPP3	0.0020970620446076763
CD99P1	0.0021131503217770493
GNG10	0.002117657144132219
ZNF230	0.002121858048551702
CARD8	0.00214542972854891
RP11-704M14.1	0.0021877840557558152
NDUFB11	0.002206858631747618
DDX49	0.002227159444124337
TUBGCP2	0.002227159444124337
ZNF493	0.0022459353123648104
CR1	0.002319256954482416
TNFSF13B	0.0023239996799995022
IL3RA	0.00234007168352147
